species,中文名字
Angiostrongylus cantonensis,
Aspergillus flavus,
Babesia microti,
Emmonsia crescens,
Entamoeba histolytica,
Plasmodium falciparum,
Plasmodium malariae,
Plasmodium ovale,
Plasmodium vivax,
Rhizopus arrhizus,
Schistosoma japonicum,
Talaromyces marneffei,
Toxoplasma gondii,
Curvularia papendorfii,
Acanthamoeba astronyxis,
Acanthamoeba castellanii,
Acanthamoeba divionensis,
Acanthamoeba hatchetti,
Acanthamoeba lenticulata,
Acanthamoeba lugdunensis,
Acanthamoeba polyphaga,
Acanthamoeba rhysodes,
Adenocephalus pacificus,
Alternaria alternata,
Alternaria brassicicola,
Ancylostoma braziliense,
Ancylostoma caninum,
Ancylostoma ceylanicum,
Ancylostoma duodenale,
Angiostrongylus costaricensis,
Anisakis simplex,
Anncaliia algerae,
Apophysomyces variabilis,
Ascaris lumbricoides,
Ascaris suum,
Babesia divergens,
Babesia duncani,
Babesia sp. venatorum,
Balamuthia mandrillaris,
Basidiobolus ranarum,
Baylisascaris procyonis,
Bertiella mucronata,
Bertiella studeri,
Blastocystis hominis,
Blastomyces helicus,
Brugia malayi,
Brugia pahangi,
Brugia timori,
Capillaria hepatica,
Chrysomya bezziana,
Cladophialophora boppii,
Clinostomum complanatum,
Clonorchis sinensis,
Cochliomyia hominivorax,
Colletotrichum coccodes,
Colletotrichum gloeosporioides,
Conidiobolus coronatus,
Conidiobolus incongruus,
Cryptosporidium hominis,
Cryptosporidium parvum,
Curvularia australiensis,
Curvularia hawaiiensis,
Curvularia spicifera,
Cyclospora cayetanensis,
Cystoisospora belli,
Dermanyssus gallinae,
Dermatobia hominis,
Dicrocoelium dendriticum,
Dientamoeba fragilis,
Dioctophyme renale,
Diphyllobothrium latum,
Dirofilaria immitis,
Dirofilaria repens,
Dracunculus medinensis,
Echinococcus granulosus,
Echinococcus multilocularis,
Echinococcus oligarthrus,
Echinococcus vogeli,
Echinolaelaps echidninus,
Enterobius vermicularis,
Enterocytozoon bieneusi,
Epidermophyton floccosum,
Fasciola gigantica,
Fasciola hepatica,
Fasciolopsis buski,
Fonsecaea compacta,
Giardia intestinalis,
Gnathostoma hispidum,
Gnathostoma spinigerum,
Halicephalobus gingivalis,
Heterophyes heterophyes,
Hymenolepis diminuta,
Leishmania aethiopica,
Leishmania amazonensis,
Leishmania braziliensis,
Leishmania chagasi,
Leishmania colombiensis,
Leishmania donovani,
Leishmania guyanensis,
Leishmania infantum,
Leishmania major,
Leishmania martiniquensis,
Leishmania mexicana,
Leishmania naiffi,
Leishmania panamensis,
Leishmania peruviana,
Leishmania tropica,
Linguatula serrata,
Loa loa,
Lomentospora prolificans,
Madurella mycetomatis,
Mansonella ozzardi,
Mansonella perstans,
Mansonella streptocerca,
Metagonimus yokogawai,
Moniliformis moniliformis,
Naegleria fowleri,
Nakaseomyces glabratus,
Necator americanus,
Neobalantidium coli,
Onchocerca volvulus,
Opisthorchis felineus,
Opisthorchis sinensis,
Opisthorchis viverrini,
Ornithonyssus bacoti,
Ornithonyssus bursa,
Ornithonyssus sylviarum,
Paracapillaria philippinensis,
Paragonimus africanus,
Paragonimus heterotremus,
Paragonimus kellicotti,
Paragonimus mexicanus,
Paragonimus siamensis,
Paragonimus skrjabini,
Paragonimus uterobilateralis,
Paragonimus westermani,
Pediculus humanus,
Plasmodium knowlesi,
Pseudoterranova decipiens,
Pthirus pubis,
Pythium insidiosum,
Rhinosporidium seeberi,
Rodentolepis nana,
Saksenaea erythrospora,
Saksenaea vasiformis,
Sappinia diploidea,
Sappinia pedata,
Sarcocystis hominis,
Sarcocystis suihominis,
Sarcoptes scabiei,
Schistosoma guineensis,
Schistosoma haematobium,
Schistosoma intercalatum,
Schistosoma malayensis,
Schistosoma mansoni,
Schistosoma mekongi,
Spirometra erinaceieuropaei,
Strongyloides stercoralis,
Taenia multiceps,
Taenia saginata,
